"Lugano, Switzerland",7,Saturday 3:00 PM
"Rome, Metropolitan City of Rome, Italy",10,Saturday 3:00 PM
"Milan, Metropolitan City of Milan, Italy",9,Saturday 3:00 PM
"Naples, Metropolitan City of Naples, Italy",10,Saturday 3:00 PM
"Turin, Metropolitan City of Turin, Italy",8,Saturday 3:00 PM
"Palermo, Province of Palermo, Italy",14,Saturday 3:00 PM
"Florence, Metropolitan City of Florence, Italy",7,Saturday 3:00 PM
"Venice, Metropolitan City of Venice, Italy",8,Saturday 3:00 PM
"Trieste, Province of Trieste, Italy",7,Saturday 3:00 PM
"Paris, France",5,Saturday 3:00 PM
"Marseille, France",7,Saturday 3:00 PM
"Lyon, France",3,Saturday 3:00 PM
"Toulouse, France",9,Saturday 3:00 PM
"Bordeaux, France",8,Saturday 3:00 PM
"Le Havre, France",6,Saturday 3:00 PM
"Rennes, France",6,Saturday 3:00 PM
"Amsterdam, Netherlands",4,Saturday 3:00 PM
"Rotterdam, Netherlands",4,Saturday 3:00 PM
"Zoetermeer, Netherlands",4,Saturday 3:00 PM
"Groningen, Netherlands",3,Saturday 3:00 PM
"Antwerp, Belgium",4,Saturday 3:00 PM
"Brussels, Belgium",2,Saturday 3:00 PM
"London, UK",4,Saturday 2:00 PM
"Edinburgh, UK",2,Saturday 2:00 PM
"Birmingham, UK",1,Saturday 2:00 PM
"Manchester, UK",2,Saturday 2:00 PM
"Glasgow, UK",3,Saturday 2:00 PM
"Cardiff, UK",4,Saturday 2:00 PM
"Belfast, UK",2,Saturday 2:00 PM
"Dublin, County Dublin, Ireland",4,Saturday 2:00 PM
"Stockholm, Sweden",3,Saturday 3:00 PM
"Gothenburg, Sweden",5,Saturday 3:00 PM
"Uppsala, Sweden",3,Saturday 3:00 PM
"Malmö, Sweden",5,Saturday 3:00 PM
"Helsinki, Finland",4,Saturday 4:00 PM
"Oulu, Finland",1,Saturday 4:00 PM
"Reykjavík, Iceland",-4,Saturday 2:00 PM
"Oslo, Norway",4,Saturday 3:00 PM
